Sample_ID,Locus,Type,Well,Timepoint,Position_DMS,PE1_index,RC_for_index,RC_rev_index,PE2_index
8,FCY1,mat_a,1,FC4,1,2,5,12,3
9,FCY1,mat_a,1,FC4,2,2,6,12,3
10,FCY1,mat_a,1,FC4,3,2,7,12,3
11,FCY1,mat_alpha,1,FC4,1,2,8,12,3
12,FCY1,mat_alpha,1,FC4,2,2,9,12,3
13,FCY1,mat_alpha,1,FC4,3,2,10,12,3
14,FCY1,mat_a,2,FC4,1,2,5,13,3
15,FCY1,mat_a,2,FC4,2,2,6,13,3
16,FCY1,mat_a,2,FC4,3,2,7,13,3
17,FCY1,mat_alpha,2,FC4,1,2,8,13,3
18,FCY1,mat_alpha,2,FC4,2,2,9,13,3
19,FCY1,mat_alpha,2,FC4,3,2,10,13,3
20,FCY1,mat_a,3,FC4,1,2,5,14,3
21,FCY1,mat_a,3,FC4,2,2,6,14,3
22,FCY1,mat_a,3,FC4,3,2,7,14,3
23,FCY1,mat_alpha,3,FC4,1,2,8,14,3
24,FCY1,mat_alpha,3,FC4,2,2,9,14,3
25,FCY1,mat_alpha,3,FC4,3,2,10,14,3
