index,Mata,MatAlpha,well,quadrant,n_96well,n_384well
0,Empty,Empty,A1,A,1,1
1,12,23,A1,C,3,1
2,39,31,B1,A,1,1
3,42,43,B1,C,3,1
4,13,22,C1,A,1,1
5,4,39,C1,C,3,1
6,26,37,D1,A,1,1
7,29,46,D1,C,3,1
8,38,29,E1,A,1,1
9,13,43,E1,C,3,1
10,22,33,F1,A,1,1
11,22,26,F1,C,3,1
12,15,4,G1,A,1,1
13,16,43,G1,C,3,1
14,25,28,H1,A,1,1
15,9,37,H1,C,3,1
16,4,17,A1,B,2,1
17,30,19,A1,D,4,1
18,4,31,B1,B,2,1
19,23,25,B1,D,4,1
20,14,3,C1,B,2,1
21,29,48,C1,D,4,1
22,8,43,D1,B,2,1
23,35,2,D1,D,4,1
24,36,11,E1,B,2,1
25,34,1,E1,D,4,1
26,11,12,F1,B,2,1
27,33,38,F1,D,4,1
28,9,10,G1,B,2,1
29,10,36,G1,D,4,1
30,39,15,H1,B,2,1
31,10,18,H1,D,4,1
32,14,29,A2,A,1,1
33,5,4,A2,C,3,1
34,36,35,B2,A,1,1
35,3,16,B2,C,3,1
36,15,31,C2,A,1,1
37,12,6,C2,C,3,1
38,13,40,D2,A,1,1
39,15,36,D2,C,3,1
40,34,19,E2,A,1,1
41,42,23,E2,C,3,1
42,2,32,F2,A,1,1
43,3,37,F2,C,3,1
44,16,27,G2,A,1,1
45,33,45,G2,C,3,1
46,30,11,H2,A,1,1
47,40,29,H2,C,3,1
48,Empty,Empty,A2,B,2,1
49,1,30,A2,D,4,1
50,35,9,B2,B,2,1
51,9,33,B2,D,4,1
52,39,1,C2,B,2,1
53,9,39,C2,D,4,1
54,6,3,D2,B,2,1
55,2,21,D2,D,4,1
56,13,2,E2,B,2,1
57,5,14,E2,D,4,1
58,31,23,F2,B,2,1
59,32,46,F2,D,4,1
60,38,1,G2,B,2,1
61,6,43,G2,D,4,1
62,29,44,H2,B,2,1
63,21,32,H2,D,4,1
64,22,9,A3,A,1,1
65,Empty,Empty,A3,C,3,1
66,42,35,B3,A,1,1
67,39,43,B3,C,3,1
68,43,21,C3,A,1,1
69,8,2,C3,C,3,1
70,12,20,D3,A,1,1
71,7,27,D3,C,3,1
72,30,38,E3,A,1,1
73,20,29,E3,C,3,1
74,36,47,F3,A,1,1
75,43,34,F3,C,3,1
76,21,40,G3,A,1,1
77,30,37,G3,C,3,1
78,23,7,H3,A,1,1
79,33,32,H3,C,3,1
80,26,26,A3,B,2,1
81,1,14,A3,D,4,1
82,8,34,B3,B,2,1
83,7,18,B3,D,4,1
84,43,47,C3,B,2,1
