index,Mata,MatAlpha,well,quadrant,n_96well,n_384well
85,14,5,C3,D,4,1
86,24,11,D3,B,2,1
87,22,47,D3,D,4,1
88,2,28,E3,B,2,1
89,5,13,E3,D,4,1
90,24,10,F3,B,2,1
91,5,42,F3,D,4,1
92,2,40,G3,B,2,1
93,24,45,G3,D,4,1
94,29,3,H3,B,2,1
95,27,23,H3,D,4,1
96,4,36,A4,A,1,1
97,17,13,A4,C,3,1
98,26,11,B4,A,1,1
99,16,22,B4,C,3,1
100,26,46,C4,A,1,1
101,35,35,C4,C,3,1
102,35,34,D4,A,1,1
103,6,4,D4,C,3,1
104,14,41,E4,A,1,1
105,11,43,E4,C,3,1
106,21,2,F4,A,1,1
107,10,19,F4,C,3,1
108,34,6,G4,A,1,1
109,25,43,G4,C,3,1
110,23,3,H4,A,1,1
111,38,41,H4,C,3,1
112,10,27,A4,B,2,1
113,Empty,Empty,A4,D,4,1
114,22,48,B4,B,2,1
115,21,10,B4,D,4,1
116,32,18,C4,B,2,1
117,40,22,C4,D,4,1
118,21,5,D4,B,2,1
119,27,43,D4,D,4,1
120,40,46,E4,B,2,1
121,42,2,E4,D,4,1
122,39,41,F4,B,2,1
123,30,5,F4,D,4,1
124,25,11,G4,B,2,1
125,11,33,G4,D,4,1
126,33,18,H4,B,2,1
127,24,6,H4,D,4,1
128,4,25,A5,A,1,1
129,4,43,A5,C,3,1
130,5,3,B5,A,1,1
131,15,1,B5,C,3,1
132,10,9,C5,A,1,1
133,29,10,C5,C,3,1
134,12,30,D5,A,1,1
135,22,5,D5,C,3,1
136,37,4,E5,A,1,1
137,8,8,E5,C,3,1
138,6,1,F5,A,1,1
139,17,46,F5,C,3,1
140,20,41,G5,A,1,1
141,11,45,G5,C,3,1
142,20,32,H5,A,1,1
143,24,47,H5,C,3,1
144,16,13,A5,B,2,1
145,34,29,A5,D,4,1
146,36,2,B5,B,2,1
147,2,48,B5,D,4,1
148,25,13,C5,B,2,1
149,12,18,C5,D,4,1
150,35,30,D5,B,2,1
151,31,42,D5,D,4,1
152,20,9,E5,B,2,1
153,25,14,E5,D,4,1
154,4,27,F5,B,2,1
155,11,16,F5,D,4,1
156,40,1,G5,B,2,1
157,23,5,G5,D,4,1
158,21,20,H5,B,2,1
159,9,41,H5,D,4,1
160,23,19,A6,A,1,1
161,19,34,A6,C,3,1
162,22,19,B6,A,1,1
163,12,37,B6,C,3,1
164,5,26,C6,A,1,1
165,37,34,C6,C,3,1
166,18,4,D6,A,1,1
167,43,37,D6,C,3,1
168,24,42,E6,A,1,1
169,17,31,E6,C,3,1
170,1,21,F6,A,1,1
171,16,32,F6,C,3,1
172,9,20,G6,A,1,1
173,15,9,G6,C,3,1
174,34,14,H6,A,1,1
175,23,35,H6,C,3,1
176,41,8,A6,B,2,1
177,32,5,A6,D,4,1
178,33,15,B6,B,2,1
179,2,31,B6,D,4,1
180,17,19,C6,B,2,1
181,22,24,C6,D,4,1
182,42,47,D6,B,2,1
183,26,10,D6,D,4,1
184,3,5,E6,B,2,1
185,3,35,E6,D,4,1
186,20,25,F6,B,2,1
187,10,23,F6,D,4,1
188,21,30,G6,B,2,1
189,11,47,G6,D,4,1
190,16,4,H6,B,2,1
191,38,40,H6,D,4,1
192,39,30,A7,A,1,1
193,30,4,A7,C,3,1
194,38,22,B7,A,1,1
195,5,37,B7,C,3,1
196,12,21,C7,A,1,1
197,11,7,C7,C,3,1
198,7,1,D7,A,1,1
199,34,5,D7,C,3,1
200,36,28,E7,A,1,1
201,20,44,E7,C,3,1
202,35,41,F7,A,1,1
203,34,21,F7,C,3,1
204,5,6,G7,A,1,1
205,37,36,G7,C,3,1
206,34,45,H7,A,1,1
207,3,9,H7,C,3,1
208,38,6,A7,B,2,1
209,5,29,A7,D,4,1
210,9,16,B7,B,2,1
211,40,28,B7,D,4,1
212,33,20,C7,B,2,1
213,10,44,C7,D,4,1
214,38,7,D7,B,2,1
215,19,7,D7,D,4,1
216,15,20,E7,B,2,1
217,37,35,E7,D,4,1
218,17,39,F7,B,2,1
219,32,19,F7,D,4,1
220,15,42,G7,B,2,1
221,20,26,G7,D,4,1
222,16,29,H7,B,2,1
223,13,4,H7,D,4,1
224,36,33,A8,A,1,1
225,7,26,A8,C,3,1
226,31,8,B8,A,1,1
227,30,44,B8,C,3,1
228,25,30,C8,A,1,1
229,3,44,C8,C,3,1
230,9,4,D8,A,1,1
231,9,18,D8,C,3,1
232,15,41,E8,A,1,1
233,3,48,E8,C,3,1
234,33,44,F8,A,1,1
235,2,29,F8,C,3,1
236,10,14,G8,A,1,1
237,27,29,G8,C,3,1
238,36,45,H8,A,1,1
239,42,1,H8,C,3,1
240,30,22,A8,B,2,1
241,25,46,A8,D,4,1
242,24,38,B8,B,2,1
243,33,24,B8,D,4,1
244,16,25,C8,B,2,1
245,24,27,C8,D,4,1
246,10,39,D8,B,2,1
247,26,12,D8,D,4,1
248,12,7,E8,B,2,1
249,4,9,E8,D,4,1
250,42,14,F8,B,2,1
251,28,32,F8,D,4,1
252,13,38,G8,B,2,1
253,43,4,G8,D,4,1
254,33,1,H8,B,2,1
255,11,48,H8,D,4,1
256,25,3,A9,A,1,1
257,36,48,A9,C,3,1
258,10,15,B9,A,1,1
259,22,21,B9,C,3,1
260,22,35,C9,A,1,1
261,11,4,C9,C,3,1
262,38,39,D9,A,1,1
263,25,26,D9,C,3,1
264,20,47,E9,A,1,1
265,7,43,E9,C,3,1
266,1,24,F9,A,1,1
267,19,12,F9,C,3,1
268,1,42,G9,A,1,1
269,41,15,G9,C,3,1
270,24,36,H9,A,1,1
271,43,23,H9,C,3,1
272,38,21,A9,B,2,1
273,13,8,A9,D,4,1
274,37,1,B9,B,2,1
275,40,45,B9,D,4,1
276,13,10,C9,B,2,1
277,13,13,C9,D,4,1
278,28,48,D9,B,2,1
279,7,29,D9,D,4,1
280,41,32,E9,B,2,1
281,11,42,E9,D,4,1
282,19,38,F9,B,2,1
283,5,28,F9,D,4,1
284,41,48,G9,B,2,1
285,30,29,G9,D,4,1
286,43,45,H9,B,2,1
287,10,1,H9,D,4,1
288,19,35,A10,A,1,1
289,26,22,A10,C,3,1
290,34,17,B10,A,1,1
291,1,23,B10,C,3,1
292,42,22,C10,A,1,1
293,33,28,C10,C,3,1
294,10,29,D10,A,1,1
295,33,3,D10,C,3,1
296,4,20,E10,A,1,1
297,39,23,E10,C,3,1
298,40,36,F10,A,1,1
299,6,30,F10,C,3,1
300,3,42,G10,A,1,1
301,8,13,G10,C,3,1
302,22,28,H10,A,1,1
303,41,13,H10,C,3,1
304,8,42,A10,B,2,1
305,30,33,A10,D,4,1
306,3,10,B10,B,2,1
307,6,20,B10,D,4,1
308,40,43,C10,B,2,1
309,34,39,C10,D,4,1
310,2,34,D10,B,2,1
311,1,19,D10,D,4,1
312,38,5,E10,B,2,1
313,15,7,E10,D,4,1
314,40,2,F10,B,2,1
315,13,16,F10,D,4,1
316,31,21,G10,B,2,1
317,14,37,G10,D,4,1
318,14,10,H10,B,2,1
319,22,34,H10,D,4,1
320,21,4,A11,A,1,1
321,22,12,A11,C,3,1
322,20,11,B11,A,1,1
323,20,5,B11,C,3,1
324,40,37,C11,A,1,1
325,17,24,C11,C,3,1
326,26,19,D11,A,1,1
327,42,48,D11,C,3,1
328,32,36,E11,A,1,1
329,12,25,E11,C,3,1
330,2,46,F11,A,1,1
331,3,38,F11,C,3,1
332,35,20,G11,A,1,1
333,35,13,G11,C,3,1
334,29,21,H11,A,1,1
335,8,21,H11,C,3,1
336,24,9,A11,B,2,1
337,23,16,A11,D,4,1
338,19,45,B11,B,2,1
339,36,26,B11,D,4,1
340,26,25,C11,B,2,1
341,23,42,C11,D,4,1
342,21,1,D11,B,2,1
343,17,14,D11,D,4,1
344,21,42,E11,B,2,1
345,11,38,E11,D,4,1
346,8,16,F11,B,2,1
347,41,47,F11,D,4,1
348,32,12,G11,B,2,1
349,2,15,G11,D,4,1
350,24,25,H11,B,2,1
351,15,28,H11,D,4,1
352,7,40,A12,A,1,1
353,28,3,A12,C,3,1
354,13,27,B12,A,1,1
355,7,2,B12,C,3,1
356,29,37,C12,A,1,1
357,36,40,C12,C,3,1
358,18,47,D12,A,1,1
359,3,33,D12,C,3,1
360,10,6,E12,A,1,1
361,3,25,E12,C,3,1
362,32,13,F12,A,1,1
363,12,46,F12,C,3,1
364,24,37,G12,A,1,1
365,30,39,G12,C,3,1
366,Empty,Empty,H12,A,1,1
367,Empty,Empty,H12,C,3,1
368,35,3,A12,B,2,1
369,37,42,A12,D,4,1
370,29,38,B12,B,2,1
371,25,12,B12,D,4,1
372,28,33,C12,B,2,1
373,30,23,C12,D,4,1
374,6,45,D12,B,2,1
375,17,33,D12,D,4,1
376,24,35,E12,B,2,1
377,36,12,E12,D,4,1
378,4,38,F12,B,2,1
379,22,11,F12,D,4,1
380,7,7,G12,B,2,1
381,23,34,G12,D,4,1
382,Empty,Empty,H12,B,2,1
383,Empty,Empty,H12,D,4,1
384,39,34,A1,A,5,2
385,16,44,A1,C,7,2
386,10,3,B1,A,5,2
387,26,9,B1,C,7,2
388,27,15,C1,A,5,2
389,12,44,C1,C,7,2
390,23,22,D1,A,5,2
391,5,34,D1,C,7,2
392,8,45,E1,A,5,2
393,7,13,E1,C,7,2
394,5,1,F1,A,5,2
395,27,13,F1,C,7,2
396,34,40,G1,A,5,2
397,41,25,G1,C,7,2
398,29,33,H1,A,5,2
399,26,41,H1,C,7,2
400,6,25,A1,B,6,2
401,37,47,A1,D,8,2
402,13,36,B1,B,6,2
403,11,5,B1,D,8,2
404,9,15,C1,B,6,2
405,32,26,C1,D,8,2
406,17,41,D1,B,6,2
407,23,39,D1,D,8,2
408,6,9,E1,B,6,2
409,21,41,E1,D,8,2
410,23,45,F1,B,6,2
411,29,32,F1,D,8,2
412,34,30,G1,B,6,2
413,40,14,G1,D,8,2
414,43,6,H1,B,6,2
415,34,47,H1,D,8,2
416,29,35,A2,A,5,2
417,14,42,A2,C,7,2
418,30,1,B2,A,5,2
419,26,28,B2,C,7,2
420,33,25,C2,A,5,2
421,17,8,C2,C,7,2
422,9,13,D2,A,5,2
423,2,27,D2,C,7,2
424,19,42,E2,A,5,2
425,20,12,E2,C,7,2
426,42,33,F2,A,5,2
427,39,10,F2,C,7,2
428,12,14,G2,A,5,2
429,2,45,G2,C,7,2
430,27,26,H2,A,5,2
431,40,6,H2,C,7,2
432,9,5,A2,B,6,2
433,32,14,A2,D,8,2
434,38,24,B2,B,6,2
435,43,2,B2,D,8,2
436,24,48,C2,B,6,2
437,22,43,C2,D,8,2
438,39,32,D2,B,6,2
439,25,23,D2,D,8,2
440,6,11,E2,B,6,2
441,21,38,E2,D,8,2
442,16,31,F2,B,6,2
443,19,31,F2,D,8,2
444,2,43,G2,B,6,2
445,31,24,G2,D,8,2
446,11,31,H2,B,6,2
447,2,4,H2,D,8,2
448,2,39,A3,A,5,2
449,18,12,A3,C,7,2
450,2,33,B3,A,5,2
451,34,16,B3,C,7,2
452,25,44,C3,A,5,2
453,40,12,C3,C,7,2
454,22,4,D3,A,5,2
455,16,34,D3,C,7,2
456,1,18,E3,A,5,2
457,21,34,E3,C,7,2
458,9,8,F3,A,5,2
459,16,40,F3,C,7,2
460,19,16,G3,A,5,2
461,24,44,G3,C,7,2
462,32,41,H3,A,5,2
463,27,17,H3,C,7,2
464,14,44,A3,B,6,2
465,1,26,A3,D,8,2
466,21,33,B3,B,6,2
467,14,46,B3,D,8,2
468,16,6,C3,B,6,2
469,18,39,C3,D,8,2
470,35,6,D3,B,6,2
471,11,1,D3,D,8,2
472,19,3,E3,B,6,2
473,8,7,E3,D,8,2
474,39,39,F3,B,6,2
475,24,3,F3,D,8,2
476,38,28,G3,B,6,2
477,1,8,G3,D,8,2
478,4,14,H3,B,6,2
479,37,9,H3,D,8,2
480,16,42,A4,A,5,2
481,18,27,A4,C,7,2
482,7,24,B4,A,5,2
483,26,18,B4,C,7,2
484,25,7,C4,A,5,2
485,28,26,C4,C,7,2
486,25,42,D4,A,5,2
487,32,9,D4,C,7,2
488,4,26,E4,A,5,2
489,4,28,E4,C,7,2
490,8,39,F4,A,5,2
491,28,1,F4,C,7,2
492,35,33,G4,A,5,2
493,8,14,G4,C,7,2
494,21,46,H4,A,5,2
495,2,5,H4,C,7,2
496,13,39,A4,B,6,2
497,5,33,A4,D,8,2
498,43,20,B4,B,6,2
499,9,7,B4,D,8,2
500,38,31,C4,B,6,2
501,31,3,C4,D,8,2
502,5,21,D4,B,6,2
503,30,34,D4,D,8,2
504,6,12,E4,B,6,2
505,2,20,E4,D,8,2
506,32,4,F4,B,6,2
507,6,14,F4,D,8,2
508,26,2,G4,B,6,2
509,37,6,G4,D,8,2
510,11,34,H4,B,6,2
511,26,44,H4,D,8,2
512,Empty,Empty,A5,A,5,2
513,11,36,A5,C,7,2
514,8,20,B5,A,5,2
515,14,16,B5,C,7,2
516,17,17,C5,A,5,2
517,28,4,C5,C,7,2
518,37,46,D5,A,5,2
519,15,37,D5,C,7,2
520,11,3,E5,A,5,2
521,26,17,E5,C,7,2
522,16,23,F5,A,5,2
523,33,9,F5,C,7,2
524,13,7,G5,A,5,2
525,16,16,G5,C,7,2
526,41,31,H5,A,5,2
527,35,24,H5,C,7,2
528,40,41,A5,B,6,2
529,35,40,A5,D,8,2
530,5,38,B5,B,6,2
531,13,9,B5,D,8,2
532,5,19,C5,B,6,2
533,20,27,C5,D,8,2
534,35,12,D5,B,6,2
535,24,31,D5,D,8,2
536,25,19,E5,B,6,2
537,28,36,E5,D,8,2
538,34,36,F5,B,6,2
539,17,37,F5,D,8,2
540,12,17,G5,B,6,2
541,43,43,G5,D,8,2
542,8,25,H5,B,6,2
543,10,42,H5,D,8,2
544,43,24,A6,A,5,2
545,29,31,A6,C,7,2
546,30,35,B6,A,5,2
547,33,27,B6,C,7,2
548,24,13,C6,A,5,2
549,6,6,C6,C,7,2
550,6,32,D6,A,5,2
551,36,20,D6,C,7,2
552,13,46,E6,A,5,2
553,12,36,E6,C,7,2
554,9,12,F6,A,5,2
555,6,33,F6,C,7,2
556,34,34,G6,A,5,2
557,9,3,G6,C,7,2
558,18,8,H6,A,5,2
559,42,30,H6,C,7,2
560,Empty,Empty,A6,B,6,2
561,19,24,A6,D,8,2
562,8,17,B6,B,6,2
563,33,11,B6,D,8,2
564,26,42,C6,B,6,2
565,5,16,C6,D,8,2
566,7,46,D6,B,6,2
567,40,48,D6,D,8,2
568,33,46,E6,B,6,2
569,21,39,E6,D,8,2
570,28,9,F6,B,6,2
571,17,2,F6,D,8,2
572,36,9,G6,B,6,2
573,5,41,G6,D,8,2
574,38,8,H6,B,6,2
575,1,46,H6,D,8,2
576,37,33,A7,A,5,2
577,Empty,Empty,A7,C,7,2
578,3,27,B7,A,5,2
579,9,11,B7,C,7,2
580,36,44,C7,A,5,2
581,30,27,C7,C,7,2
582,34,28,D7,A,5,2
583,13,1,D7,C,7,2
584,43,42,E7,A,5,2
585,19,41,E7,C,7,2
586,7,20,F7,A,5,2
587,29,4,F7,C,7,2
588,1,32,G7,A,5,2
589,35,18,G7,C,7,2
590,4,12,H7,A,5,2
591,22,17,H7,C,7,2
592,38,45,A7,B,6,2
593,14,40,A7,D,8,2
594,43,5,B7,B,6,2
595,29,45,B7,D,8,2
596,6,5,C7,B,6,2
597,37,23,C7,D,8,2
598,32,48,D7,B,6,2
599,29,1,D7,D,8,2
600,36,18,E7,B,6,2
601,14,18,E7,D,8,2
602,38,35,F7,B,6,2
603,17,36,F7,D,8,2
604,34,25,G7,B,6,2
605,23,44,G7,D,8,2
606,11,35,H7,B,6,2
607,2,14,H7,D,8,2
608,24,21,A8,A,5,2
609,29,13,A8,C,7,2
610,17,22,B8,A,5,2
611,40,35,B8,C,7,2
612,42,13,C8,A,5,2
613,36,5,C8,C,7,2
614,37,27,D8,A,5,2
615,17,3,D8,C,7,2
616,35,7,E8,A,5,2
617,27,20,E8,C,7,2
618,15,39,F8,A,5,2
619,8,9,F8,C,7,2
620,14,15,G8,A,5,2
621,28,14,G8,C,7,2
622,7,14,H8,A,5,2
623,28,24,H8,C,7,2
624,29,17,A8,B,6,2
625,Empty,Empty,A8,D,8,2
626,35,32,B8,B,6,2
627,31,7,B8,D,8,2
628,42,6,C8,B,6,2
629,12,24,C8,D,8,2
630,10,20,D8,B,6,2
631,31,28,D8,D,8,2
632,40,10,E8,B,6,2
633,28,46,E8,D,8,2
634,37,24,F8,B,6,2
635,17,11,F8,D,8,2
636,7,38,G8,B,6,2
637,11,24,G8,D,8,2
638,9,42,H8,B,6,2
639,6,34,H8,D,8,2
640,41,42,A9,A,5,2
641,18,46,A9,C,7,2
642,14,28,B9,A,5,2
643,5,9,B9,C,7,2
644,3,13,C9,A,5,2
645,33,12,C9,C,7,2
646,8,38,D9,A,5,2
647,39,8,D9,C,7,2
648,22,16,E9,A,5,2
649,7,25,E9,C,7,2
650,32,7,F9,A,5,2
651,24,28,F9,C,7,2
652,7,6,G9,A,5,2
653,15,45,G9,C,7,2
654,27,1,H9,A,5,2
655,29,36,H9,C,7,2
656,27,32,A9,B,6,2
657,19,15,A9,D,8,2
658,5,7,B9,B,6,2
659,7,21,B9,D,8,2
660,29,41,C9,B,6,2
661,31,35,C9,D,8,2
662,39,27,D9,B,6,2
663,18,33,D9,D,8,2
664,11,40,E9,B,6,2
665,18,11,E9,D,8,2
666,30,14,F9,B,6,2
667,4,23,F9,D,8,2
668,39,14,G9,B,6,2
669,36,41,G9,D,8,2
670,41,27,H9,B,6,2
671,41,34,H9,D,8,2
672,23,11,A10,A,5,2
673,20,1,A10,C,7,2
674,28,29,B10,A,5,2
675,39,28,B10,C,7,2
676,27,37,C10,A,5,2
677,42,16,C10,C,7,2
678,41,17,D10,A,5,2
679,37,44,D10,C,7,2
680,10,35,E10,A,5,2
681,41,4,E10,C,7,2
682,29,22,F10,A,5,2
683,32,28,F10,C,7,2
684,21,23,G10,A,5,2
685,16,46,G10,C,7,2
686,2,9,H10,A,5,2
687,18,43,H10,C,7,2
688,1,44,A10,B,6,2
689,41,21,A10,D,8,2
690,12,16,B10,B,6,2
691,16,20,B10,D,8,2
692,1,10,C10,B,6,2
693,7,45,C10,D,8,2
694,15,24,D10,B,6,2
695,37,20,D10,D,8,2
696,32,42,E10,B,6,2
697,21,25,E10,D,8,2
698,31,25,F10,B,6,2
699,24,7,F10,D,8,2
700,42,28,G10,B,6,2
701,6,2,G10,D,8,2
702,19,11,H10,B,6,2
703,16,35,H10,D,8,2
704,9,22,A11,A,5,2
705,33,23,A11,C,7,2
706,14,27,B11,A,5,2
707,4,1,B11,C,7,2
708,13,42,C11,A,5,2
709,27,35,C11,C,7,2
710,41,46,D11,A,5,2
711,5,40,D11,C,7,2
712,15,46,E11,A,5,2
713,1,31,E11,C,7,2
714,39,12,F11,A,5,2
715,41,33,F11,C,7,2
716,32,23,G11,A,5,2
717,37,22,G11,C,7,2
718,12,29,H11,A,5,2
719,25,20,H11,C,7,2
720,10,12,A11,B,6,2
721,20,39,A11,D,8,2
722,13,3,B11,B,6,2
723,26,7,B11,D,8,2
724,39,45,C11,B,6,2
725,15,25,C11,D,8,2
726,17,28,D11,B,6,2
727,36,16,D11,D,8,2
728,43,44,E11,B,6,2
729,25,40,E11,D,8,2
730,36,23,F11,B,6,2
731,42,31,F11,D,8,2
732,3,45,G11,B,6,2
733,14,11,G11,D,8,2
734,15,13,H11,B,6,2
735,37,10,H11,D,8,2
736,23,33,A12,A,5,2
737,20,46,A12,C,7,2
738,21,43,B12,A,5,2
739,10,24,B12,C,7,2
740,40,30,C12,A,5,2
741,38,48,C12,C,7,2
742,33,36,D12,A,5,2
743,37,40,D12,C,7,2
744,27,10,E12,A,5,2
745,15,18,E12,C,7,2
746,2,42,F12,A,5,2
747,22,2,F12,C,7,2
748,12,34,G12,A,5,2
749,39,21,G12,C,7,2
750,Empty,Empty,H12,A,5,2
751,Empty,Empty,H12,C,7,2
752,26,40,A12,B,6,2
753,25,31,A12,D,8,2
754,39,47,B12,B,6,2
755,21,11,B12,D,8,2
756,24,33,C12,B,6,2
757,10,43,C12,D,8,2
758,36,32,D12,B,6,2
759,10,4,D12,D,8,2
760,6,8,E12,B,6,2
761,35,42,E12,D,8,2
762,27,7,F12,B,6,2
763,4,29,F12,D,8,2
764,4,19,G12,B,6,2
765,37,45,G12,D,8,2
766,Empty,Empty,H12,B,6,2
767,Empty,Empty,H12,D,8,2
769,35,16,A1,A,9,3
770,14,43,A1,C,11,3
771,20,17,B1,A,9,3
772,8,35,B1,C,11,3
773,25,2,C1,A,9,3
774,11,2,C1,C,11,3
775,20,42,D1,A,9,3
776,36,36,D1,C,11,3
777,22,25,E1,A,9,3
778,25,37,E1,C,11,3
779,17,25,F1,A,9,3
780,41,7,F1,C,11,3
781,20,28,G1,A,9,3
782,2,37,G1,C,11,3
783,16,47,H1,A,9,3
784,3,30,H1,C,11,3
785,4,41,A1,B,10,3
786,41,44,A1,D,12,3
787,16,48,B1,B,10,3
788,13,41,B1,D,12,3
789,19,19,C1,B,10,3
790,34,42,C1,D,12,3
791,1,1,D1,B,10,3
792,11,23,D1,D,12,3
793,18,26,E1,B,10,3
794,11,10,E1,D,12,3
795,10,21,F1,B,10,3
796,10,5,F1,D,12,3
797,17,10,G1,B,10,3
798,40,18,G1,D,12,3
799,40,3,H1,B,10,3
800,19,40,H1,D,12,3
801,2,19,A2,A,9,3
802,17,5,A2,C,11,3
803,4,21,B2,A,9,3
804,23,20,B2,C,11,3
805,10,47,C2,A,9,3
806,23,28,C2,C,11,3
807,16,9,D2,A,9,3
808,18,23,D2,C,11,3
809,21,3,E2,A,9,3
810,1,39,E2,C,11,3
811,7,19,F2,A,9,3
812,1,11,F2,C,11,3
813,28,40,G2,A,9,3
814,26,4,G2,C,11,3
815,2,25,H2,A,9,3
816,32,17,H2,C,11,3
817,16,5,A2,B,10,3
818,19,17,A2,D,12,3
819,22,13,B2,B,10,3
820,31,6,B2,D,12,3
821,21,15,C2,B,10,3
822,14,24,C2,D,12,3
823,20,22,D2,B,10,3
824,24,24,D2,D,12,3
825,32,33,E2,B,10,3
826,29,2,E2,D,12,3
827,29,12,F2,B,10,3
828,41,41,F2,D,12,3
829,19,27,G2,B,10,3
830,19,26,G2,D,12,3
831,3,28,H2,B,10,3
832,23,13,H2,D,12,3
833,25,45,A3,A,9,3
834,38,19,A3,C,11,3
835,3,3,B3,A,9,3
836,42,26,B3,C,11,3
837,32,30,C3,A,9,3
838,3,47,C3,C,11,3
839,40,8,D3,A,9,3
840,28,10,D3,C,11,3
841,35,25,E3,A,9,3
842,11,32,E3,C,11,3
843,25,8,F3,A,9,3
844,38,16,F3,C,11,3
845,26,48,G3,A,9,3
846,11,41,G3,C,11,3
847,43,1,H3,A,9,3
848,21,21,H3,C,11,3
849,17,27,A3,B,10,3
850,36,30,A3,D,12,3
851,34,10,B3,B,10,3
852,28,18,B3,D,12,3
853,35,11,C3,B,10,3
854,33,13,C3,D,12,3
855,41,45,D3,B,10,3
856,38,20,D3,D,12,3
857,43,38,E3,B,10,3
858,11,37,E3,D,12,3
859,5,2,F3,B,10,3
860,19,20,F3,D,12,3
861,43,35,G3,B,10,3
862,21,45,G3,D,12,3
863,11,39,H3,B,10,3
864,39,35,H3,D,12,3
865,33,29,A4,A,9,3
866,15,47,A4,C,11,3
867,10,8,B4,A,9,3
868,8,26,B4,C,11,3
869,40,20,C4,A,9,3
870,23,12,C4,C,11,3
871,37,32,D4,A,9,3
872,31,4,D4,C,11,3
873,19,30,E4,A,9,3
874,6,13,E4,C,11,3
875,7,44,F4,A,9,3
876,38,38,F4,C,11,3
877,23,4,G4,A,9,3
878,36,13,G4,C,11,3
879,40,33,H4,A,9,3
880,42,4,H4,C,11,3
881,25,4,A4,B,10,3
882,20,30,A4,D,12,3
883,41,24,B4,B,10,3
884,3,39,B4,D,12,3
885,1,34,C4,B,10,3
886,16,18,C4,D,12,3
887,37,21,D4,B,10,3
888,25,10,D4,D,12,3
889,21,37,E4,B,10,3
890,42,29,E4,D,12,3
891,31,31,F4,B,10,3
892,32,27,F4,D,12,3
893,33,40,G4,B,10,3
894,23,10,G4,D,12,3
895,35,4,H4,B,10,3
896,37,11,H4,D,12,3
897,18,31,A5,A,9,3
898,17,15,A5,C,11,3
899,5,20,B5,A,9,3
900,41,11,B5,C,11,3
901,35,17,C5,A,9,3
902,37,28,C5,C,11,3
903,31,40,D5,A,9,3
904,39,11,D5,C,11,3
905,42,34,E5,A,9,3
906,43,33,E5,C,11,3
907,32,37,F5,A,9,3
908,23,8,F5,C,11,3
909,5,27,G5,A,9,3
910,16,28,G5,C,11,3
911,20,38,H5,A,9,3
912,23,46,H5,C,11,3
913,28,12,A5,B,10,3
914,36,25,A5,D,12,3
915,8,32,B5,B,10,3
916,21,28,B5,D,12,3
917,6,38,C5,B,10,3
918,35,44,C5,D,12,3
919,10,25,D5,B,10,3
920,2,1,D5,D,12,3
921,20,34,E5,B,10,3
922,1,38,E5,D,12,3
923,22,23,F5,B,10,3
924,29,40,F5,D,12,3
925,26,27,G5,B,10,3
