Capillary Position;Is Outlier;Ligand Concentration [M];Ratio 670nm / 650nm;Ligand Concentration [M] (fitted);Ratio 670nm / 650nm (fitted)
;;;;5.76962715061276E-09;1.36937280179522
;;;;6.34658986567404E-09;1.37021092562259
;;;;6.98124885224144E-09;1.37111817545788
;;;;7.67937373746559E-09;1.37209857446298
;;;;8.44731111121215E-09;1.37315601348462
;;;;9.29204222233336E-09;1.37429415205351
;;;;1.02212464445667E-08;1.37551630088565
;;;;1.12433710890234E-08;1.37682528531451
;;;;1.23677081979257E-08;1.37822329012547
;;;;1.36044790177183E-08;1.37971168775336
;;;;1.49649269194901E-08;1.38129085379529
;;;;1.64614196114391E-08;1.38295997629093
;;;;1.8107561572583E-08;1.38471686814891
;;;;1.99183177298413E-08;1.38655779523971
;;;;2.19101495028255E-08;1.38847733564886
;;;;2.4101164453108E-08;1.39046828782016
;;;;2.65112808984188E-08;1.39252164608921
;;;;2.91624089882607E-08;1.39462666063304
;;;;3.20786498870868E-08;1.39677099450032
;;;;3.52865148757955E-08;1.39894098289336
;;;;3.8815166363375E-08;1.40112198966345
;;;;4.26966829997125E-08;1.40329884427634
;;;;4.69663512996838E-08;1.40545633125394
;;;;5.16629864296522E-08;1.40757969559648
;;;;5.68292850726174E-08;1.40965512395919
;;;;6.25122135798791E-08;1.4116701634984
;;;;6.87634349378671E-08;1.41361404806815
;;;;7.56397784316538E-08;1.41547791326467
;;;;8.32037562748191E-08;1.4172548952515
;;;;9.15241319023011E-08;1.41894012079131
;;;;1.00676545092531E-07;1.42053060546897
;;;;1.10744199601784E-07;1.42202508269357
;;;;1.21818619561963E-07;1.42342378770594
;;;;1.34000481518159E-07;1.42472821923983
;;;;1.47400529669975E-07;1.42594089780236
;;;;1.62140582636973E-07;1.427065134886
;;;;1.7835464090067E-07;1.42810482271141
;;;;1.96190104990737E-07;1.42906424993162
;;;;2.1580911548981E-07;1.42994794540172
;;;;2.37390027038792E-07;1.43076054970575
;;;;2.61129029742671E-07;1.4315067125525
;;;;2.87241932716938E-07;1.43219101325453
;;;;3.15966125988632E-07;1.43281790111765
;;;;3.47562738587495E-07;1.43339165253263
;;;;3.82319012446244E-07;1.43391634174699
;;;;4.20550913690869E-07;1.43439582260172
;;;;4.62606005059956E-07;1.43483371887815
;;;;5.08866605565951E-07;1.4352334212657
;;;;5.59753266122546E-07;1.43559808930683
;;;;6.15728592734801E-07;1.435930656985
;;;;6.77301452008281E-07;1.43623384089006
;;;;7.45031597209109E-07;1.43651015012231
;;;;8.1953475693002E-07;1.43676189728416
;;;;9.01488232623023E-07;1.43699121006165
;;;;9.91637055885325E-07;1.43720004302092
;;;;1.09080076147386E-06;1.4373901893427
;;;;1.19988083762124E-06;1.43756329229475
;;;;1.31986892138337E-06;1.43772085630221
;;;;1.4518558135217E-06;1.43786425752187
;;;;1.59704139487388E-06;1.43799475386182
;;;;1.75674553436126E-06;1.43811349441449
;;;;1.93242008779739E-06;1.43822152829096
;;;;2.12566209657713E-06;1.4383198128589
;;;;2.33822830623484E-06;1.43840922139704
;;;;2.57205113685833E-06;1.43849055018631
;;;;2.82925625054416E-06;1.43856452506257
;;;;3.11218187559858E-06;1.43863180745906
;;;;3.42340006315843E-06;1.43869299996816
;;;;3.76574006947428E-06;1.43874865145294
;;;;4.1423140764217E-06;1.43879926173859
;;;;4.55654548406388E-06;1.43884528591348
;;;;5.01220003247026E-06;1.43888713826836
;;;;5.51342003571729E-06;1.43892519590108
;;;;6.06476203928902E-06;1.43895980201287
;;;;6.67123824321792E-06;1.43899126892044
;;;;7.33836206753972E-06;1.43901988080694
;;;;8.07219827429369E-06;1.43904589623325
;;;;8.87941810172306E-06;1.43906955042922
;;;;9.76735991189536E-06;1.43909105738359
;;;;1.07440959030849E-05;1.43911061174952
;;;;1.18185054933934E-05;1.43912839058137
;;;;1.30003560427327E-05;1.43914455491749
;;;;1.4300391647006E-05;1.43915925122202
;;;;1.57304308117066E-05;1.4391726126983
;;;;1.73034738928773E-05;1.43918476048482
;;;;1.9033821282165E-05;1.43919580474418
;;;;2.09372034103815E-05;1.43920584565444
;;;;2.30309237514197E-05;1.43921497431153
;;;;2.53340161265616E-05;1.43922327355046
;;;;2.78674177392178E-05;1.43923081869277
;;;;3.06541595131396E-05;1.43923767822655
;;;;3.37195754644535E-05;1.43924391442527
;;;;3.70915330108989E-05;1.43924958391067
;;;;4.08006863119888E-05;1.43925473816492
;;;;4.48807549431877E-05;1.43925942399649
;;;;4.93688304375064E-05;1.43926368396388
